0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Suite bergamasque"
1, 0, Title_t, "Clair de Lune"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Claude Debussy"
1, 0, Text_t, "Andante tres expressif"
1, 0, Text_t, "Fertiggestellt am 6.8.98\012"
1, 0, Text_t, "Korrekturen am 20.8.98\012"
1, 0, Text_t, "Beide Tracks auf Kanal 1 am 9.11.98\012"
1, 0, Text_t, "Update am 21.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 20.8.2011\012"
1, 0, Text_t, "Dauer: 4:07 Minuten\012"
1, 0, Time_signature, 9, 3, 12, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Andante tres expressif"
1, 240, Tempo, 1875000
1, 480, Tempo, 888889
1, 2160, Tempo, 821918
1, 2400, Tempo, 789474
1, 2640, Tempo, 863309
1, 2880, Tempo, 845070
1, 4320, Tempo, 869565
1, 4560, Tempo, 827586
1, 4800, Tempo, 800000
1, 5040, Tempo, 895522
1, 5520, Tempo, 863309
1, 6480, Tempo, 839161
1, 6720, Tempo, 805369
1, 6960, Tempo, 833333
1, 7200, Tempo, 845070
1, 8880, Tempo, 827586
1, 9100, Tempo, 800000
1, 9360, Tempo, 816327
1, 9600, Tempo, 759494
1, 9840, Tempo, 789474
1, 10080, Tempo, 779221
1, 10320, Tempo, 764331
1, 10560, Tempo, 774194
1, 10800, Tempo, 805369
1, 11040, Tempo, 774194
1, 11280, Tempo, 750000
1, 11520, Tempo, 784314
1, 12960, Tempo, 827586
1, 13200, Tempo, 810811
1, 13440, Tempo, 794702
1, 13680, Tempo, 816327
1, 13920, Tempo, 774194
1, 14160, Tempo, 784314
1, 14400, Tempo, 769231
1, 14640, Tempo, 784314
1, 14880, Tempo, 784314
1, 15120, Tempo, 784314
1, 15360, Tempo, 779221
1, 16560, Tempo, 952381
1, 17040, Tempo, 1395349
1, 17280, Tempo, 888889
1, 17520, Tempo, 784314
1, 17760, Tempo, 1111111
1, 18000, Tempo, 888889
1, 19440, Tempo, 821918
1, 19680, Tempo, 789474
1, 19920, Tempo, 863309
1, 20160, Tempo, 845070
1, 20640, Tempo, 821918
1, 21600, Tempo, 869565
1, 21840, Tempo, 827586
1, 22080, Tempo, 937500
1, 22320, Tempo, 845070
1, 23760, Tempo, 821918
1, 24000, Tempo, 789474
1, 24240, Tempo, 863309
1, 24480, Tempo, 845070
1, 25920, Tempo, 869565
1, 26160, Tempo, 827586
1, 26400, Tempo, 944882
1, 26640, Tempo, 930233
1, 27120, Tempo, 845070
1, 27360, Tempo, 845070
1, 28080, Tempo, 821918
1, 28320, Tempo, 759494
1, 28560, Tempo, 821918
1, 28800, Tempo, 952381
1, 29260, Tempo, 909091
1, 30000, Tempo, 1846154
1, 30240, Tempo, 863309
1, 30240, Marker_t, "Tempo rubato"
1, 30280, Tempo, 857756
1, 30720, Tempo, 827929
1, 31200, Tempo, 764234
1, 31680, Tempo, 789578
1, 31920, Tempo, 764234
1, 32400, Tempo, 789578
1, 32640, Tempo, 764234
1, 33120, Tempo, 779221
1, 33360, Tempo, 851547
1, 33600, Tempo, 930233
1, 34541, Tempo, 902256
1, 34560, Tempo, 863309
1, 34600, Tempo, 857756
1, 35040, Tempo, 827929
1, 35520, Tempo, 745342
1, 35760, Tempo, 745342
1, 36000, Tempo, 759494
1, 36240, Tempo, 740741
1, 36480, Tempo, 736196
1, 36720, Tempo, 779221
1, 36960, Tempo, 764234
1, 37440, Tempo, 779221
1, 37680, Tempo, 851547
1, 37920, Tempo, 930233
1, 38400, Tempo, 857143
1, 38880, Tempo, 755572
1, 39120, Tempo, 690369
1, 39600, Tempo, 678580
1, 39840, Tempo, 711069
1, 40320, Tempo, 728509
1, 40981, Tempo, 744786
1, 41020, Tempo, 704391
1, 41041, Tempo, 732332
1, 41280, Tempo, 670391
1, 41520, Tempo, 652174
1, 41760, Tempo, 659341
1, 42000, Tempo, 641711
1, 42240, Tempo, 687758
1, 43200, Tempo, 718563
1, 43440, Tempo, 675676
1, 43920, Tempo, 664158
1, 44160, Tempo, 685714
1, 44640, Tempo, 713012
1, 45360, Tempo, 693642
1, 45600, Tempo, 650266
1, 45840, Tempo, 638978
1, 46080, Tempo, 650266
1, 46320, Tempo, 638638
1, 46560, Tempo, 669792
1, 47520, Tempo, 718563
1, 47760, Tempo, 675676
1, 48240, Tempo, 664158
1, 48480, Tempo, 674157
1, 48960, Tempo, 713012
1, 49680, Tempo, 693642
1, 49920, Tempo, 650266
1, 50160, Tempo, 638978
1, 50400, Tempo, 650266
1, 50640, Tempo, 638638
1, 50880, Tempo, 669792
1, 51120, Tempo, 693642
1, 51360, Tempo, 666667
1, 51600, Tempo, 693642
1, 51720, Tempo, 1121495
1, 51840, Tempo, 652174
1, 53160, Tempo, 1121495
1, 53280, Tempo, 677966
1, 53880, Tempo, 1250000
1, 54000, Tempo, 648649
1, 55320, Tempo, 1904762
1, 55340, Tempo, 2000000
1, 55360, Tempo, 2105263
1, 55380, Tempo, 2222222
1, 55400, Tempo, 2352941
1, 55420, Tempo, 2500000
1, 55440, Tempo, 652174
1, 55920, Tempo, 1212121
1, 56160, Tempo, 685714
1, 56760, Tempo, 722892
1, 56880, Tempo, 685714
1, 57480, Tempo, 710059
1, 57600, Tempo, 693642
1, 58080, Tempo, 774194
1, 58200, Tempo, 810811
1, 58320, Tempo, 685714
1, 58920, Tempo, 718563
1, 59040, Tempo, 655738
1, 59640, Tempo, 714286
1, 59760, Tempo, 652174
1, 60240, Tempo, 638298
1, 60480, Tempo, 634921
1, 60960, Tempo, 618557
1, 61020, Tempo, 631247
1, 61160, Tempo, 644745
1, 61200, Tempo, 618557
1, 61920, Tempo, 638298
1, 62400, Tempo, 644538
1, 62520, Tempo, 684151
1, 62640, Tempo, 622342
1, 62880, Tempo, 613183
1, 63120, Tempo, 595652
1, 63240, Tempo, 631247
1, 63360, Tempo, 625456
1, 63361, Tempo, 612870
1, 63960, Tempo, 638298
1, 64080, Tempo, 609137
1, 64180, Tempo, 612245
1, 64280, Tempo, 615385
1, 64380, Tempo, 618557
1, 64480, Tempo, 621762
1, 64580, Tempo, 625000
1, 64680, Tempo, 674157
1, 64760, Tempo, 631579
1, 64800, Tempo, 591133
1, 65400, Tempo, 618557
1, 65520, Tempo, 591133
1, 66120, Tempo, 628272
1, 66240, Tempo, 591133
1, 66480, Tempo, 615385
1, 66720, Tempo, 652174
1, 66975, Tempo, 591133
1, 67575, Tempo, 618557
1, 67695, Tempo, 591133
1, 67800, Tempo, 582524
1, 68280, Tempo, 606061
1, 68415, Tempo, 591133
1, 68640, Tempo, 579710
1, 68895, Tempo, 652174
1, 69120, Tempo, 594059
1, 69840, Tempo, 579710
1, 70920, Tempo, 563380
1, 72600, Tempo, 585366
1, 72720, Tempo, 574163
1, 72780, Tempo, 576923
1, 72820, Tempo, 579710
1, 72860, Tempo, 582524
1, 72900, Tempo, 585366
1, 72960, Tempo, 588235
1, 73000, Tempo, 591133
1, 73040, Tempo, 594059
1, 73080, Tempo, 597015
1, 73140, Tempo, 600000
1, 73180, Tempo, 603015
1, 73200, Tempo, 606061
1, 73220, Tempo, 609137
1, 73240, Tempo, 615385
1, 73260, Tempo, 621762
1, 73280, Tempo, 628272
1, 73300, Tempo, 634921
1, 73320, Tempo, 641711
1, 73340, Tempo, 648649
1, 73360, Tempo, 655738
1, 73380, Tempo, 662983
1, 73400, Tempo, 670391
1, 73420, Tempo, 677966
1, 73480, Tempo, 606061
1, 73540, Tempo, 603015
1, 73600, Tempo, 600000
1, 73660, Tempo, 597015
1, 73720, Tempo, 594059
1, 73780, Tempo, 591133
1, 73820, Tempo, 588235
1, 73880, Tempo, 585366
1, 73940, Tempo, 582524
1, 74000, Tempo, 579710
1, 74060, Tempo, 576923
1, 74120, Tempo, 574163
1, 74160, Tempo, 571429
1, 74760, Tempo, 585366
1, 74880, Tempo, 555556
1, 75120, Tempo, 579710
1, 75360, Tempo, 625000
1, 75600, Tempo, 574163
1, 76220, Tempo, 576923
1, 76280, Tempo, 574163
1, 76320, Tempo, 571429
