0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Suite bergamasque"
1, 0, Title_t, "Passepied"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Claude Debussy"
1, 0, Text_t, "Allegretto ma non troppo"
1, 0, Text_t, "Fertiggestellt am 20.8.98\012"
1, 0, Text_t, "Beide Tracks auf Kanal 1 am 9.11.98\012"
1, 0, Text_t, "Update am 21.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 24.8.2011\012"
1, 0, Text_t, "Dauer: 3:36 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 351906
1, 0, Marker_t, "Allegretto ma non troppo"
1, 240, Tempo, 343840
1, 720, Tempo, 348837
1, 960, Tempo, 346821
1, 1200, Tempo, 338983
1, 1680, Tempo, 345821
1, 2160, Tempo, 338028
1, 2640, Tempo, 342857
1, 2880, Tempo, 343840
1, 3120, Tempo, 338028
1, 3600, Tempo, 343840
1, 3840, Tempo, 353982
1, 4320, Tempo, 348837
1, 4800, Tempo, 353982
1, 5040, Tempo, 343840
1, 5520, Tempo, 346821
1, 5760, Tempo, 348837
1, 6000, Tempo, 343840
1, 6480, Tempo, 345821
1, 6720, Tempo, 349854
1, 6960, Tempo, 345821
1, 7440, Tempo, 347826
1, 7920, Tempo, 345821
1, 8640, Tempo, 347826
1, 8880, Tempo, 344828
1, 9360, Tempo, 358209
1, 9600, Tempo, 347826
1, 9840, Tempo, 343840
1, 10080, Tempo, 340909
1, 10320, Tempo, 343840
1, 10560, Tempo, 341880
1, 10800, Tempo, 338983
1, 11040, Tempo, 338028
1, 11280, Tempo, 341880
1, 11520, Tempo, 340909
1, 11760, Tempo, 338028
1, 12000, Tempo, 336134
1, 12240, Tempo, 345821
1, 12480, Tempo, 339117
1, 12960, Tempo, 342075
1, 13440, Tempo, 337192
1, 13680, Tempo, 335270
1, 13920, Tempo, 332447
1, 14160, Tempo, 341880
1, 14400, Tempo, 340117
1, 14880, Tempo, 342075
1, 15600, Tempo, 348149
1, 15840, Tempo, 357632
1, 16080, Tempo, 373459
1, 16320, Tempo, 342075
1, 16560, Tempo, 338983
1, 17280, Tempo, 345821
1, 17520, Tempo, 338983
1, 19200, Tempo, 353982
1, 19280, Tempo, 349426
1, 19680, Tempo, 356782
1, 20160, Tempo, 349426
1, 20400, Tempo, 339405
1, 20880, Tempo, 342349
1, 21120, Tempo, 344353
1, 21360, Tempo, 339405
1, 21600, Tempo, 335570
1, 21840, Tempo, 341375
1, 22080, Tempo, 345344
1, 22320, Tempo, 341375
1, 22560, Tempo, 338448
1, 22800, Tempo, 343348
1, 23040, Tempo, 349426
1, 23280, Tempo, 341375
1, 23520, Tempo, 338448
1, 23760, Tempo, 341375
1, 24000, Tempo, 343348
1, 24240, Tempo, 340387
1, 24720, Tempo, 353586
1, 24960, Tempo, 345344
1, 25200, Tempo, 339405
1, 25440, Tempo, 335570
1, 25920, Tempo, 343348
1, 26160, Tempo, 339405
1, 26400, Tempo, 334616
1, 26880, Tempo, 342349
1, 27120, Tempo, 336511
1, 27360, Tempo, 334616
1, 27840, Tempo, 341375
1, 28080, Tempo, 336511
1, 28320, Tempo, 347383
1, 28800, Tempo, 342349
1, 29040, Tempo, 337477
1, 29760, Tempo, 341375
1, 30000, Tempo, 336511
1, 30240, Tempo, 347383
1, 30720, Tempo, 342349
1, 30960, Tempo, 337477
1, 31680, Tempo, 341375
1, 31920, Tempo, 336511
1, 32160, Tempo, 347383
1, 32640, Tempo, 342349
1, 32880, Tempo, 337477
1, 33600, Tempo, 341375
1, 33860, Tempo, 337477
1, 34560, Tempo, 342349
1, 34800, Tempo, 337477
1, 35280, Tempo, 397351
1, 35520, Tempo, 344353
1, 36000, Tempo, 360036
1, 36480, Tempo, 351494
1, 36481, Tempo, 356083
1, 36720, Tempo, 343840
1, 36840, Tempo, 342857
1, 36960, Tempo, 341880
1, 37040, Tempo, 340909
1, 37160, Tempo, 339943
1, 37240, Tempo, 338983
1, 37360, Tempo, 338028
1, 37440, Tempo, 337079
1, 37560, Tempo, 336134
1, 37640, Tempo, 335196
1, 37660, Tempo, 343840
1, 37680, Tempo, 336134
1, 37920, Tempo, 352941
1, 38880, Tempo, 356083
1, 39360, Tempo, 348837
1, 39840, Tempo, 361446
1, 40320, Tempo, 357143
1, 40560, Tempo, 347826
1, 40600, Tempo, 342857
1, 40720, Tempo, 341880
1, 40840, Tempo, 340909
1, 40960, Tempo, 339943
1, 41080, Tempo, 338983
1, 41200, Tempo, 338028
1, 41320, Tempo, 337079
1, 41440, Tempo, 336134
1, 41520, Tempo, 335196
1, 41760, Tempo, 351906
1, 42720, Tempo, 357143
1, 43200, Tempo, 350877
1, 43920, Tempo, 361446
1, 44160, Tempo, 361446
1, 44400, Tempo, 357143
1, 45120, Tempo, 360360
1, 45360, Tempo, 357143
