0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Fantasie Nr. 6, Opus 116"
1, 0, Title_t, "Intermezzo"
1, 0, Copyright_t, "Copyright © 1999 by Krüger http://www.piano-midi.de"
1, 0, Text_t, "Johannes Brahms"
1, 0, Text_t, "Andantino temperamente"
1, 0, Text_t, "Fertiggestellt am 28.1.99\012"
1, 0, Text_t, "Update am 12.9.99\012"
1, 0, Text_t, "Update am 19.5.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 31.10.2010\012"
1, 0, Text_t, "Dauer: 2:23 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 763942
1, 0, Marker_t, "Andantino teneramente"
1, 956, Tempo, 669344
1, 960, Tempo, 669344
1, 1440, Tempo, 657823
1, 1920, Tempo, 637213
1, 2400, Tempo, 645161
1, 2880, Tempo, 648649
1, 3120, Tempo, 621762
1, 3360, Tempo, 628272
1, 3400, Tempo, 631579
1, 3600, Tempo, 646761
1, 3840, Tempo, 635930
1, 4320, Tempo, 632444
1, 4800, Tempo, 618748
1, 5280, Tempo, 628272
1, 5760, Tempo, 621762
1, 6000, Tempo, 615385
1, 6240, Tempo, 618557
1, 6480, Tempo, 665484
1, 6720, Tempo, 634921
1, 7200, Tempo, 628931
1, 7680, Tempo, 622084
1, 8160, Tempo, 625000
1, 8400, Tempo, 621762
1, 8640, Tempo, 621762
1, 8880, Tempo, 612245
1, 9120, Tempo, 628272
1, 9360, Tempo, 632444
1, 9600, Tempo, 661594
1, 10080, Tempo, 733765
1, 10560, Tempo, 817661
1, 11040, Tempo, 946074
1, 11520, Tempo, 1122125
1, 12000, Tempo, 2609830
1, 12480, Tempo, 645369
1, 13440, Tempo, 660866
1, 13920, Tempo, 634921
1, 14160, Tempo, 655738
1, 14400, Tempo, 638298
1, 14640, Tempo, 659341
1, 14880, Tempo, 655738
1, 15120, Tempo, 668896
1, 15360, Tempo, 645369
1, 16800, Tempo, 641711
1, 17040, Tempo, 659341
1, 17280, Tempo, 638298
1, 17520, Tempo, 659341
1, 17760, Tempo, 653097
1, 18240, Tempo, 672948
1, 19200, Tempo, 740649
1, 19680, Tempo, 857265
1, 20160, Tempo, 1052816
1, 20640, Tempo, 2069679
1, 21080, Tempo, 1308044
1, 21120, Tempo, 635930
1, 21600, Tempo, 632444
1, 22080, Tempo, 618748
1, 22560, Tempo, 628272
1, 23040, Tempo, 638298
1, 23280, Tempo, 625000
1, 23520, Tempo, 631579
1, 23760, Tempo, 665484
1, 24000, Tempo, 634921
1, 24480, Tempo, 628931
1, 24960, Tempo, 622084
1, 25440, Tempo, 625000
1, 25680, Tempo, 621762
1, 25920, Tempo, 625000
1, 26400, Tempo, 628272
1, 26640, Tempo, 632444
1, 27840, Tempo, 592710
1, 28320, Tempo, 625261
1, 29280, Tempo, 669344
1, 29760, Tempo, 715649
1, 30240, Tempo, 729483
1, 30720, Tempo, 743771
1, 31200, Tempo, 824629
1, 31680, Tempo, 989609
1, 32040, Tempo, 1559252
1, 32041, Tempo, 1440576
1, 32100, Tempo, 1813237
1, 32160, Tempo, 827929
1, 33600, Tempo, 720202
1, 35520, Tempo, 628272
1, 35680, Tempo, 618557
1, 35840, Tempo, 615385
1, 36000, Key_signature, 5, "major"
1, 36000, Tempo, 614880
1, 36160, Tempo, 607780
1, 36480, Tempo, 614880
1, 36640, Tempo, 600841
1, 36800, Tempo, 590726
1, 36960, Tempo, 614880
1, 37120, Tempo, 604290
1, 37440, Tempo, 614880
1, 37600, Tempo, 604290
1, 37760, Tempo, 629591
1, 37920, Tempo, 655738
1, 38160, Tempo, 628272
1, 38400, Tempo, 612245
1, 38560, Tempo, 604290
1, 38720, Tempo, 621762
1, 38880, Tempo, 652174
1, 39120, Tempo, 625000
1, 39360, Tempo, 612245
1, 39540, Tempo, 604290
1, 39660, Tempo, 645161
1, 39680, Tempo, 674157
1, 39840, Tempo, 689655
1, 40080, Tempo, 674157
1, 40320, Tempo, 641711
1, 40480, Tempo, 659341
1, 40640, Tempo, 685714
1, 40960, Tempo, 666667
1, 41120, Tempo, 685714
1, 41280, Tempo, 655738
1, 41440, Tempo, 638298
1, 41600, Tempo, 648649
1, 41760, Tempo, 614880
1, 41920, Tempo, 607780
1, 42240, Tempo, 614880
1, 42400, Tempo, 600841
1, 42560, Tempo, 590726
1, 42720, Tempo, 614880
1, 42880, Tempo, 604290
1, 43200, Tempo, 614880
1, 43360, Tempo, 604290
1, 43520, Tempo, 629591
1, 43680, Tempo, 659341
1, 43900, Tempo, 638298
1, 44160, Tempo, 625000
1, 44320, Tempo, 615385
1, 44480, Tempo, 641711
1, 44640, Tempo, 685714
1, 44880, Tempo, 652174
1, 45120, Tempo, 638298
1, 45440, Tempo, 666667
1, 45600, Tempo, 652174
1, 45920, Tempo, 681818
1, 46400, Tempo, 689655
1, 46560, Tempo, 779221
1, 46720, Tempo, 816327
1, 46880, Tempo, 895522
1, 47040, Tempo, 686342
1, 47200, Tempo, 673250
1, 47360, Tempo, 695410
1, 47520, Tempo, 673250
1, 47680, Tempo, 660647
1, 47840, Tempo, 695410
1, 48000, Tempo, 645161
1, 48160, Tempo, 631579
1, 48480, Tempo, 641711
1, 48640, Tempo, 631579
1, 48960, Tempo, 632911
1, 49280, Tempo, 652458
1, 49440, Tempo, 693642
1, 49680, Tempo, 670391
1, 49920, Tempo, 632911
1, 50240, Tempo, 652458
1, 50400, Tempo, 701754
1, 50640, Tempo, 681818
1, 50880, Tempo, 640615
1, 51441, Tempo, 727273
1, 52000, Tempo, 710059
1, 52160, Tempo, 722892
1, 52320, Tempo, 685714
1, 52480, Tempo, 666667
1, 52640, Tempo, 685714
1, 52800, Tempo, 666667
1, 52960, Tempo, 652174
1, 53120, Tempo, 670391
1, 53280, Tempo, 628338
1, 53440, Tempo, 621118
1, 53760, Tempo, 628338
1, 53920, Tempo, 613999
1, 54080, Tempo, 603682
1, 54240, Tempo, 628338
1, 54400, Tempo, 617538
1, 54720, Tempo, 628338
1, 54880, Tempo, 617538
1, 55040, Tempo, 643432
1, 55200, Tempo, 673779
1, 55201, Tempo, 659341
1, 55440, Tempo, 641711
1, 55680, Tempo, 625000
1, 55840, Tempo, 625000
1, 56160, Tempo, 648649
1, 56400, Tempo, 641711
1, 56640, Tempo, 645161
1, 57120, Tempo, 693642
1, 57360, Tempo, 670391
1, 57600, Tempo, 685714
1, 57920, Tempo, 731707
1, 58080, Tempo, 710059
1, 58880, Tempo, 727273
1, 59520, Tempo, 740741
1, 59680, Tempo, 718563
1, 60000, Tempo, 740741
1, 60480, Tempo, 816327
1, 60640, Tempo, 869565
1, 60800, Tempo, 1212121
1, 60900, Tempo, 1578947
1, 60960, Tempo, 2400960
1, 61440, Tempo, 669344
1, 61920, Key_signature, 4, "major"
1, 61920, Tempo, 657823
1, 62400, Tempo, 637213
1, 62880, Tempo, 645161
1, 63360, Tempo, 655738
1, 63600, Tempo, 625000
1, 63840, Tempo, 625000
1, 64080, Tempo, 646761
1, 64320, Tempo, 635930
1, 64800, Tempo, 632444
1, 65280, Tempo, 618748
1, 65760, Tempo, 628272
1, 66240, Tempo, 621762
1, 66720, Tempo, 631579
1, 66960, Tempo, 665484
1, 67200, Tempo, 634921
1, 67680, Tempo, 628931
1, 68160, Tempo, 622084
1, 68640, Tempo, 625000
1, 68880, Tempo, 621762
1, 69120, Tempo, 625000
1, 69600, Tempo, 628272
1, 69840, Tempo, 632444
1, 70560, Tempo, 621762
1, 71520, Tempo, 612245
1, 71760, Tempo, 631579
1, 72000, Tempo, 618557
1, 72960, Tempo, 631579
1, 73440, Tempo, 621762
1, 73920, Tempo, 634921
1, 74400, Tempo, 631579
1, 74640, Tempo, 621762
1, 74880, Tempo, 618557
1, 76080, Tempo, 631579
1, 76320, Tempo, 618557
1, 77280, Tempo, 652245
1, 77520, Tempo, 714371
1, 77760, Tempo, 731797
1, 78000, Tempo, 779322
1, 78240, Tempo, 810920
1, 78300, Tempo, 800107
1, 78720, Tempo, 705965
1, 79200, Tempo, 729483
1, 79680, Tempo, 743771
1, 80160, Tempo, 824629
1, 80640, Tempo, 989609
1, 81120, Tempo, 888889
1, 82560, Tempo, 720202
1, 83040, Tempo, 655738
1, 83360, Tempo, 670391
1, 83520, Tempo, 655738
1, 83840, Tempo, 677966
1, 84000, Tempo, 652174
1, 84320, Tempo, 674157
1, 84480, Tempo, 652174
1, 84800, Tempo, 670391
1, 84960, Tempo, 685714
1, 85200, Tempo, 736196
1, 85440, Tempo, 714286
1, 85920, Tempo, 727273
1, 86160, Tempo, 745342
1, 86340, Tempo, 909091
1, 86400, Tempo, 740741
1, 86880, Tempo, 759494
1, 87120, Tempo, 839161
1, 87360, Tempo, 789474
1, 88320, Tempo, 845189
1, 88800, Tempo, 909229
1, 89280, Tempo, 833333
1, 89520, Tempo, 800000
1, 89760, Tempo, 779221
1, 90000, Tempo, 764331
1, 90240, Tempo, 764331
1, 90720, Tempo, 769231
1, 90840, Tempo, 774194
1, 90960, Tempo, 779221
1, 91080, Tempo, 784314
1, 91160, Tempo, 789474
1, 91280, Tempo, 794702
1, 91400, Tempo, 800000
1, 91520, Tempo, 805369
1, 91600, Tempo, 810811
1, 91640, Tempo, 805369
1, 91680, Tempo, 851064
1, 91920, Tempo, 930233
1, 92160, Tempo, 975610
1, 92180, Tempo, 983607
1, 92200, Tempo, 1000000
1, 92220, Tempo, 1016949
1, 92240, Tempo, 1034483
1, 92260, Tempo, 1052632
1, 92280, Tempo, 1071429
1, 92300, Tempo, 1090909
1, 92320, Tempo, 1111111
1, 92340, Tempo, 1132075
1, 92359, Tempo, 1132289
1, 92379, Tempo, 1176701
1, 92399, Tempo, 1224740
1, 92410, Tempo, 1224740
1, 92420, Tempo, 1250260
1, 92430, Tempo, 1304631
1, 92440, Tempo, 1333630
1, 92450, Tempo, 1395673
1, 92460, Tempo, 1428912
1, 92470, Tempo, 1500375
1, 92480, Tempo, 1538856
1, 92490, Tempo, 1622060
1, 92500, Tempo, 1667130
1, 92509, Tempo, 1714776
1, 92535, Tempo, 1765225
1, 92547, Tempo, 1818733
1, 92560, Tempo, 1875586
1, 92572, Tempo, 1936108
1, 92580, Tempo, 983768
1, 93600, Marker_t, "Fine"
1, 93600, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 91, 127
2, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
2, 956, Control_c, 0, 91, 127
2, 960, Note_on_c, 0, 71, 53
2, 960, Note_on_c, 0, 59, 44
2, 960, Note_on_c, 0, 68, 44
2, 1440, Note_on_c, 0, 68, 0
2, 1440, Note_on_c, 0, 59, 0
2, 1440, Note_on_c, 0, 71, 0
2, 1440, Note_on_c, 0, 60, 41
2, 1440, Note_on_c, 0, 68, 41
2, 1440, Note_on_c, 0, 71, 49
2, 1920, Note_on_c, 0, 71, 0
2, 1920, Note_on_c, 0, 68, 0
2, 1920, Note_on_c, 0, 60, 0
2, 1920, Note_on_c, 0, 61, 36
2, 1920, Note_on_c, 0, 66, 36
2, 1920, Note_on_c, 0, 69, 44
2, 2400, Note_on_c, 0, 69, 0
2, 2400, Note_on_c, 0, 66, 0
2, 2400, Note_on_c, 0, 61, 0
2, 2400, Note_on_c, 0, 66, 36
2, 2400, Note_on_c, 0, 62, 43
2, 2400, Note_on_c, 0, 69, 36
2, 2640, Note_on_c, 0, 62, 0
2, 2640, Note_on_c, 0, 63, 46
2, 2880, Note_on_c, 0, 63, 0
2, 2880, Note_on_c, 0, 69, 0
2, 2880, Note_on_c, 0, 66, 0
2, 2880, Note_on_c, 0, 69, 29
2, 2880, Note_on_c, 0, 66, 49
2, 3120, Note_on_c, 0, 66, 0
2, 3120, Note_on_c, 0, 64, 36
2, 3360, Note_on_c, 0, 64, 0
2, 3360, Note_on_c, 0, 69, 0
2, 3360, Note_on_c, 0, 68, 38
2, 3360, Note_on_c, 0, 59, 42
2, 3600, Note_on_c, 0, 59, 0
2, 3600, Note_on_c, 0, 56, 36
2, 3820, Note_on_c, 0, 56, 0
2, 3820, Note_on_c, 0, 68, 0
2, 3840, Note_on_c, 0, 56, 39
2, 3840, Note_on_c, 0, 64, 39
2, 3840, Note_on_c, 0, 68, 48
2, 4320, Note_on_c, 0, 68, 0
2, 4320, Note_on_c, 0, 64, 0
2, 4320, Note_on_c, 0, 56, 0
2, 4320, Note_on_c, 0, 68, 46
2, 4320, Note_on_c, 0, 57, 39
2, 4320, Note_on_c, 0, 64, 39
2, 4800, Note_on_c, 0, 64, 0
2, 4800, Note_on_c, 0, 57, 0
2, 4800, Note_on_c, 0, 68, 0
2, 4800, Note_on_c, 0, 58, 39
2, 4800, Note_on_c, 0, 64, 39
2, 4800, Note_on_c, 0, 66, 46
2, 5280, Note_on_c, 0, 66, 0
2, 5280, Note_on_c, 0, 64, 0
2, 5280, Note_on_c, 0, 58, 0
2, 5280, Note_on_c, 0, 64, 37
2, 5280, Note_on_c, 0, 65, 45
2, 5280, Note_on_c, 0, 58, 30
2, 5520, Note_on_c, 0, 65, 0
2, 5520, Note_on_c, 0, 66, 47
2, 5760, Note_on_c, 0, 66, 0
2, 5760, Note_on_c, 0, 58, 0
2, 5760, Note_on_c, 0, 64, 0
2, 5760, Note_on_c, 0, 69, 48
2, 5760, Note_on_c, 0, 63, 36
2, 5760, Note_on_c, 0, 57, 26
2, 6000, Note_on_c, 0, 69, 0
2, 6000, Note_on_c, 0, 66, 44
2, 6240, Note_on_c, 0, 66, 0
2, 6240, Note_on_c, 0, 57, 0
2, 6240, Note_on_c, 0, 63, 0
2, 6240, Note_on_c, 0, 57, 45
2, 6240, Note_on_c, 0, 64, 45
2, 6480, Note_on_c, 0, 64, 0
2, 6480, Note_on_c, 0, 63, 38
2, 6700, Note_on_c, 0, 63, 0
2, 6700, Note_on_c, 0, 57, 0
2, 6720, Note_on_c, 0, 73, 57
2, 6720, Note_on_c, 0, 61, 48
2, 6720, Note_on_c, 0, 69, 48
2, 7200, Note_on_c, 0, 69, 0
2, 7200, Note_on_c, 0, 61, 0
2, 7200, Note_on_c, 0, 73, 0
2, 7200, Note_on_c, 0, 62, 48
2, 7200, Note_on_c, 0, 69, 48
2, 7200, Note_on_c, 0, 73, 57
2, 7680, Note_on_c, 0, 73, 0
2, 7680, Note_on_c, 0, 69, 0
2, 7680, Note_on_c, 0, 62, 0
2, 7680, Note_on_c, 0, 69, 47
2, 7680, Note_on_c, 0, 63, 47
2, 7680, Note_on_c, 0, 71, 56
2, 8160, Note_on_c, 0, 71, 0
2, 8160, Note_on_c, 0, 63, 0
2, 8160, Note_on_c, 0, 69, 0
2, 8160, Note_on_c, 0, 68, 44
2, 8160, Note_on_c, 0, 64, 53
2, 8160, Note_on_c, 0, 71, 44
2, 8400, Note_on_c, 0, 65, 53
2, 8440, Note_on_c, 0, 64, 0
2, 8640, Note_on_c, 0, 68, 0
2, 8640, Note_on_c, 0, 71, 0
2, 8640, Note_on_c, 0, 65, 0
2, 8640, Note_on_c, 0, 68, 55
2, 8640, Note_on_c, 0, 71, 50
2, 8880, Note_on_c, 0, 68, 0
2, 8880, Note_on_c, 0, 66, 45
2, 9120, Note_on_c, 0, 66, 0
2, 9120, Note_on_c, 0, 71, 0
2, 9120, Note_on_c, 0, 69, 46
2, 9120, Note_on_c, 0, 61, 49
2, 9360, Note_on_c, 0, 61, 0
2, 9360, Note_on_c, 0, 57, 44
2, 9580, Note_on_c, 0, 57, 0
2, 9580, Note_on_c, 0, 69, 0
2, 9600, Note_on_c, 0, 66, 41
2, 9600, Note_on_c, 0, 60, 41
2, 9600, Note_on_c, 0, 69, 49
2, 10080, Note_on_c, 0, 69, 0
2, 10080, Note_on_c, 0, 60, 0
2, 10080, Note_on_c, 0, 66, 0
2, 10080, Note_on_c, 0, 66, 36
2, 10080, Note_on_c, 0, 59, 36
2, 10080, Note_on_c, 0, 69, 44
2, 10560, Note_on_c, 0, 69, 0
2, 10560, Note_on_c, 0, 59, 0
2, 10560, Note_on_c, 0, 66, 0
2, 10560, Note_on_c, 0, 66, 37
2, 10560, Note_on_c, 0, 68, 46
2, 10560, Note_on_c, 0, 60, 37
2, 11040, Note_on_c, 0, 60, 0
2, 11040, Note_on_c, 0, 68, 0
2, 11040, Note_on_c, 0, 66, 0
2, 11040, Note_on_c, 0, 61, 39
2, 11040, Note_on_c, 0, 64, 39
2, 11040, Note_on_c, 0, 68, 47
2, 11520, Note_on_c, 0, 64, 0
2, 11520, Note_on_c, 0, 61, 0
2, 11520, Note_on_c, 0, 63, 36
2, 11520, Note_on_c, 0, 56, 36
2, 11520, Note_on_c, 0, 60, 36
2, 12000, Note_on_c, 0, 60, 0
